(50.856175, -0.167102)
(50.856178, -0.167466)
(50.856266, -0.167908)
(50.856663, -0.168618)
(50.856492, -0.168377)
(50.856908, -0.168773)
(50.856908, -0.168773)
(50.857105, -0.168869)
(50.857353, -0.168956)
(50.857698, -0.169760)
(50.858368, -0.171524)
(50.858549, -0.171817)
(50.858927, -0.172308)
(50.859394, -0.171781)
(50.859300, -0.171921)
(50.859593, -0.171933)
(50.859786, -0.172093)
(50.859939, -0.172363)
(50.860127, -0.172447)
(50.860492, -0.171910)
(50.860926, -0.171369)
(50.861226, -0.170838)
(50.861511, -0.170197)
(50.861711, -0.169610)
(50.861976, -0.169154)
(50.862383, -0.167817)
(50.862562, -0.167092)
(50.862747, -0.167322)
(50.862785, -0.167197)
(50.862875, -0.167723)
(50.862918, -0.167418)
(50.862769, -0.168100)
(50.862972, -0.167815)
(50.863419, -0.167842)
(50.863211, -0.167577)
(50.863623, -0.168040)
(50.863389, -0.168652)
(50.863315, -0.169186)
(50.863434, -0.170092)
(50.863498, -0.170488)
(50.864006, -0.170149)
(50.864748, -0.168962)
(50.865174, -0.167418)
(50.865575, -0.165579)
(50.866085, -0.164040)
(50.866322, -0.162851)
(50.866555, -0.162122)
(50.866951, -0.161560)
(50.867486, -0.160508)
(50.867646, -0.160249)
(50.867321, -0.159651)
(50.866940, -0.159401)
(50.866752, -0.159261)
(50.866440, -0.159850)
(50.866182, -0.160650)
(50.865970, -0.160672)
(50.865741, -0.160548)
(50.865447, -0.160472)
(50.865044, -0.161016)
(50.864742, -0.161665)
(50.864568, -0.162291)
(50.864378, -0.162639)
(50.864211, -0.162994)
(50.864079, -0.163498)
(50.863960, -0.163891)
(50.863885, -0.164282)
(50.863794, -0.164523)
(50.863686, -0.164672)
(50.863534, -0.164769)
(50.862559, -0.165820)
